Corrente do Motor;Taxa da Balanca
7,943;3,747854
7,914;3,747854
7,914;3,82722032
7,914;3,82722032
7,971;3,77430944
7,971;3,77430944
8,029;3,77430944
8,029;4,12704864
8,086;4,12704864
8,086;7,00187312
8,086;7,00187312
8,086;14,32121152
8,657;14,32121152
8,657;18,94650428
9,171;18,94650428
9,171;17,67223392
9,171;17,67223392
9,286;17,67223392
9,286;12,84411612
8,371;12,84411612
8,371;13,65541628
8,486;13,65541628
8,486;23,35574428
8,486;23,35574428
9,943;36,25718052
9,943;36,25718052
11,914;36,25718052
11,914;48,89406236
15,857;48,89406236
15,857;58,68257516
16,6;58,68257516
16,6;65,88286408
19,743;65,88286408
19,743;72,21012348
19,743;72,21012348
19,543;72,21012348
19,543;77,23224784
20,029;80,90661451
20,029;84,31936627
19,143;80,6449996
19,143;82,25878144
19,314;82,25878144
19,314;83,69619368
19,314;83,69619368
20,971;87,37056035
20,971;86,79735915
20,486;86,79735915
20,486;84,67651471
19,057;81,00214804
19,057;79,78078856
16,686;79,78078856
16,686;75,85215572
16,686;75,85215572
16,514;75,85215572
16,514;71,11222272
15,886;71,11222272
15,886;67,18358988
16,8;67,18358988
16,8;66,79557676
17,429;66,79557676
17,429;71,72069784
17,429;71,72069784
18,057;71,72069784
18,057;79,88220108
23,514;87,23093441
23,514;89,46641909
21,4;85,79205243
21,4;87,44551743
18,429;83,77115076
18,429;68,11834876
18,429;68,11834876
12,314;68,11834876
12,314;55,09786304
12,343;55,09786304
12,343;54,9170842
15,057;54,9170842
15,057;64,154442
16,971;64,154442
16,971;77,5364854
25,114;88,5595854
25,114;88,5595854
25,114;97,61616436
24;93,94179769
24;96,64466181
20,629;92,97029515
20,629;87,72329955
16,171;84,04893288
16,171;69,75858604
13,314;69,75858604
13,314;58,93390184
13,314;58,93390184
11,914;58,93390184
11,914;56,66314324
15,086;56,66314324
15,086;57,57144668
15,343;57,57144668
15,343;57,00706396
14,457;57,00706396
14,457;55,08022608
14,457;55,08022608
13,943;55,08022608
13,943;53,22834528
13,314;53,22834528
13,314;47,20532344
12,257;47,20532344
12,257;38,79690276
10,257;38,79690276
10,257;30,06219832
8,857;30,06219832
8,857;30,06219832
8,857;23,46597528
8,371;23,46597528
8,371;17,53554748
8,143;17,53554748
8,143;13,48345592
8,2;13,48345592
8,2;13,48345592
8,2;9,14035452
8,2;9,14035452
8,2;5,43218368
8,171;5,43218368
8,171;5,59532556
8,714;5,59532556
8,714;15,35738292
11,4;15,35738292
11,4;29,94755808
14,314;29,94755808
14,314;29,94755808
14,314;43,06504708
16,657;43,06504708
16,657;55,43737452
